id,latitude,longitude,name,address,zip,city,state
223,46.95066878,7.437039718,Hauptgebäude Uni Bern,Falkenplatz 4,3012,Bern,Active
224,46.9541456,7.4307168,Unitobler West,Lerchenweg 37,3012,Bern,Active
225,46.95560985,7.428041759,Hochfeldstrasse,Länggassstrasse 74,3012,Bern,Active
226,46.9557805,7.4352658,Uni Mittelstrasse,Mittelstrasse 38,3012,Bern,Active
227,46.9545136,7.4294963,Unitobler Ost,Muesmattstrasse 45,3012,Bern,Active
228,46.95342344,7.432826018,Mittelstrasse Süd,Mittelstrasse 5,3012,Bern,Active
229,46.94126238,7.4507109,Nationalbibliothek,Helvetiastrasse 21,3005,Bern,Active
230,46.9547361,7.4333909,Sattler-Gelateria,Mittelstrasse 18,3012,Bern,Active
231,46.95245857,7.4354223,Hallerstrasse,Hallerstrasse 9,3012,Bern,Active
232,46.94399921,7.449698,Helvetiaplatz Bern,Marienstrasse,3005,Bern,Active
244,46.9603601,7.448583918,Wyleregg,Wylerstrasse 51,3014,Bern,Active
250,46.94908865,7.4444373,Station ausser Betrieb wegen technischen Problemen: Waisenhausplatz,Waisenhausplatz 21,3011,Bern,Active
251,46.94881691,7.447639,Kornhausplatz,Kornhausplatz 20,3011,Bern,Active
252,46.94970655,7.444410561,Speichergasse PROGR,Waisenhausplatz 28,3011,Bern,Active
253,46.9534004,7.4285549,Uni Muesmatt,Muesmattstrasse 29,3012,Bern,Active
254,46.948641,7.456743259,Nydegg,Nydeggasse 13,3011,Bern,Active
255,46.9526929,7.429988218,Pauluskirche Bern,Freiestrasse 3,3012,Bern,Active
256,46.95548625,7.4769056,Zentweg,Zentweg 23,3006,Bern,Active
257,46.9480487,7.450239588,Simsonbrunnen,Kramgasse 40,3011,Bern,Active
258,46.94760554,7.4473508,Theaterplatz,Theaterplatz 4,3011,Bern,Active
259,46.9539295,7.4267524,Waldheim,Freiestrasse 43,3012,Bern,Active
260,46.94868407,7.453272459,Postgasse,Postgasse 66,3011,Bern,Active
261,46.9366583,7.4679887,Ringoltingenstrasse,Ringoltingenstrasse 21,3006,Bern,Active
262,46.94163048,7.463199264,Böcklinstrasse,Brunnadernstrasse 20,3006,Bern,Active
271,46.947856328360984,7.436903989490435,PostParc Velostation (06:00-22:00) INSIDE the building!,Schanzenstrasse 5,3008,Bern,Active
290,46.946888089472424,7.445830418186601,Nationalbank,Inselgasse 1,3011,Bern,Active
291,46.96351594,7.455517436,Markuskirche,Winkelriedstrasse 56,3014,Bern,Active
292,46.9466105,7.441625,Bundesgasse,Bundesgasse 3,3011,Bern,Active
293,46.94652518,7.4481467,Casinoplatz,Casinoplatz 3,3011,Bern,Active
